kode	uraian	vol	sat	hargasat	jumlah	kdblokir	sdana
	    -     Uang harian koordinasi penjajagan lahan praktek luar kota di jawa tengah  [2 ORG x 2 RS x 1 KEG]	4	OK	350000	1400000		
	 >> Monev	0		0	0		
	    -     Uang harian  [3 OR x 2 HARI]	6	OK	500000	3000000		
	    -     Penginapan rapat koordinasi  [3 OR x 2 HR]	6	OK	600000	3600000		
	    -     Transport koordinasi  [3 OR x 1 KL]	3	OK	1150000	3450000		
     524113	Belanja Perjalanan Dinas Dalam Kota	0		0	14600000		A
	    -     Transport supervisi dalam kota  [10 OR x 8 KL x 1 SMT]	80	OH	150000	12000000		
	    -     Uang harian rapat dalam kota lebih dr 8 jam  [10 ORG x 1 KL x 2 RS]	20	OK	130000	2600000		
      C	Keperawatan Gigi	0		0	316850000		
     521211	Belanja Bahan	0		0	88400000		A
	    -     Konsumsi rapat koordinasi Praktik  [25 OR x 1 KEG]	25	OK	25000	625000		
	    -     Penggandaan modul mata ajar  [1 PKT x 2 SMT]	2	PKT	2250000	4500000		
	    -     Penggandaan Silabi, SAP, Kontrak Belajar  [1 PKT x 2 SMT x 1 KL x 1 KL]	2	PKT	1500000	3000000		
	    -     Konsumsi rapat pembelajaran PBM  [20 DSN x 4 KL x 2 SMT]	160	OK	25000	4000000		
	    -     Penggandaan Buku Panduan Praktik  [103 PKT x 1 KEG]	103	PKT	25000	2575000		
	    -     Biaya cetak buku bimbingan dan konseling  [103 EXP x 1 KL]	103	EXP	20000	2060000		
	    -     Bahan praktek	1	PT	59225000	59225000		
	> Evaluasi	0		0	12415000		
	    -     Buku Cetak Panduan KTI  [103 MHS x 1 KL]	103	OK	30000	3090000		
	    -     Konsumsi Rapat Yudisium  [30 DSN x 1 KL]	30	OK	25000	750000		
	    -     Penggandaan soal Ujian  [1 PKT x 4 KL]	4	PKT	1500000	6000000		
	    -     Buku Panduan praktek di lapangan  [103 MHS x 1 KL]	103	OK	25000	2575000		
     521213	Belanja Honor Output Kegiatan	0		0	15450000		A
	    -     Honor CI dari Lahan  [103 ORG x 2 KL]	206	OK	75000	15450000		
     521219	Belanja Barang Non Operasional Lainnya	0		0	206000000		A
	    -     Pemenuhan kompetensi IT  [103 MHS x 1 KL]	103	OK	500000	51500000		
	    -     Pemenuhan Kompetensi PPGD  [103 ORG x 1 KL]	103	OK	1500000	154500000		
     524111	Belanja Perjalanan Dinas Biasa	0		0	7000000		A
	    -     Uang harian supervisi kegiatan PKL  [10 DSN x 2 KL x 1 HR]	20	OH	150000	3000000		
	    -     Transport supervisi PKL  [10 DSN x 2 KL x 1 0]	20	OK	200000	4000000		
      D	Kesehatan Lingkungan	0		0	46760000		
     521211	Belanja Bahan	0		0	5010000		A
	    -     Biaya cetak buku bimbingan dan konseling  [16 ORG x 2 PKT]	32	PKT	25000	800000		
	    -     Penyusunan laporan UAP  [1 PKT x 1 SMT]	1	PKT	330000	330000		
	    -     Penggandaan buku panduan praktek  [16 ORG x 2 MK x 1 PKT x 2 SMT]	64	PKT	20000	1280000		
	    -     Penggandaan silabus, kontrak belajar  [14 MK x 2 PKT]	28	PKT	25000	700000		
	    -     Konsumsi rapat koordinasi praktek  [6 ORG x 2 KEG x 2 SMT]	24	OK	25000	600000		
	    -     Penggandaan modul ajar  [2 PKT x 14 MK]	28	PKT	25000	700000		
	    -     Konsumsi rapat pembelajaran PBM  [6 ORG x 2 SMT x 2 KEG]	24	OK	25000	600000		
     521213	Belanja Honor Output Kegiatan	0		0	5900000		A
	    -     Honor dosen tamu  [1 ORG x 1 MK x 1 TM]	1	OK	300000	300000		
	    -     Honor dosen tidak tetap  [1 ORG x 2 SMT x 7 TM x 2 SKS]	28	OK	200000	5600000		
     521219	Belanja Barang Non Operasional Lainnya	0		0	12800000		A
	    -     Pemenuhan kompetensi bahasa inggris  [16 ORG x 1 KEG]	16	OK	400000	6400000		
	    -     Pemenuhan kompetensi IT  [16 ORG x 1 KEG]	16	OK	400000	6400000		
     521811	Belanja Barang Persediaan Barang Konsumsi	0		0	12800000		A
	    -     Bahan praktikum laboratorium dan bengkel kerja  [16 1 x 2 SMT x 1 SMT x 1 PKT x 2 PKT]	32	PKT	350000	11200000		
	    -     ATK  [16 ORG x 1 PKT x 2 SMT]	32	PKT	50000	1600000		
     522191	Belanja Jasa Lainnya	0		0	8000000		A
	    -     Biaya lahan praktek  [16 ORG x 1 KEG x 1 LKS]	16	OK	500000	8000000		
     524111	Belanja Perjalanan Dinas Biasa	0		0	2250000		A
	    -     Transport dosen tamu  [1 ORG x 1 TM]	1	OK	150000	150000		
	    -     Transport dosen tidak tetap  [1 ORG x 2 SMT x 7 TM]	14	OK	150000	2100000		
      E	Gizi	0		0	18000000		
     521219	Belanja Barang Non Operasional Lainnya	0		0	18000000		A
	    -     Bahan praktek	1	PT	18000000	18000000		
      F	Analis Kesehatan	0		0	76600000		
     521119	Belanja Barang Operasional Lainnya	0		0	3920000		A
	    -     Pelatihan Softskill	28	OR	140000	3920000		
     521211	Belanja Bahan	0		0	69880000		A
	    -     Bahan Praktek	1	PT	69880000	69880000		
     524111	Belanja Perjalanan Dinas Biasa	0		0	2800000		A
	    -     Transport koordinasi  [2 OR x 2 KL]	4	OK	350000	1400000		
	    -     Uang harian koordinasi  [2 OR x 2 KL x 1 HR]	4	OH	350000	1400000		
      H	Rekam Medis dan Informasi Kesehatan	0		0	267298000		
     521211	Belanja Bahan	0		0	13378000		A
	> Persiapan	0		0	13378000		
	    -     Konsumsi rapat persiapan assesment RPL  [40 OR x 1 KEG]	40	OK	43000	1720000		
	    -     Konsumsi pelaksanaan assesment (Ujian Tulis, Interview, Osce)  [61 OR x 1 KEG]	61	OK	53000	3233000		
	    -     Fotocopy materi assesment  [60 BDL x 1 KEG x 1 PKT]	60	PKT	15000	900000		
	 >> Pelaksanaan	0		0	4000000		
	    -     Biaya cetak buku bimbingan dan konseling  [50 EXP x 1 KL]	50	EXP	25000	1250000		
	    -     Penggandaan Buku Panduan Praktik  [60 PKT x 1 KEG]	60	PKT	25000	1500000		
	    -     Biaya penggandaan soal ujian  [6250 LBR x 1 KL]	6250	LBR	200	1250000		
	 >> monev	0		0	3525000		
	    -     Konsumsi yudisium  [25 OR x 1 KL]	25	OR	25000	625000		
	    -     Konsumsi ujian sidang KTI  [28 MHS x 3 OR x 1 KL]	84	OK	25000	2100000		
	    -     Cetak buku panduan KTI  [40 EX x 1 KL]	40	EX	20000	800000		
     521213	Belanja Honor Output Kegiatan	0		0	63570000		A
	    -     Honor pembimbing klinik  [4 PKL x 40 MHS]	160	OK	75000	12000000		
	    -     Honor pembuatan soal DTT  [3 MK x 1 KL x 3 SMT]	9	OK	230000	2070000		
	    -     Honor koreksi soal DTT  [40 MHS x 5 MK x 1 KL x 3 SMT]	600	OK	10000	6000000		
	    -     Honor penguji KTI DTT  [1 OR x 30 MHS]	30	OK	100000	3000000		
	    -     Honor penguji proposal KTI DTT  [1 OR x 30 MHS]	30	OK	50000	1500000		
	    -     Honor pembimbing KTI DTT  [1 OR x 10 MHS x 1 PKT]	10	OK	300000	3000000		
	    -     Honor Dosen tidak tetap  [12 SKS x 5 TM x 1 KLS x 3 SMT]	180	OJ	200000	36000000		
     521219	Belanja Barang Non Operasional Lainnya	0		0	140000000		A
	    -     Pemenuhan Kompetensi Bahasa Inggris (Tes TOEFL)  [40 MHS x 1 KEG]	40	ORG	500000	20000000		
	    -     Pemenuhan kompetensi IT  [40 MHS x 1 KL]	40	OK	900000	36000000		
	    -     Pemenuhan kompetensi keahlian profesi berbasis casemix  [28 MHS x 1 KL]	28	OK	3000000	84000000		
     522191	Belanja Jasa Lainnya	0		0	18000000		A
	    -     Biaya lahan praktik  [40 OR x 3 KL]	120	OK	150000	18000000		
     524111	Belanja Perjalanan Dinas Biasa	0		0	32350000		A
	    -     Transport koordinasi  [2 OR x 2 KL]	4	OK	350000	1400000		
	    -     Uang harian koordinasi  [2 OR x 2 KL x 1 HR]	4	OH	350000	1400000		
	    -     Transport Dosen Tidak Tetap  [4 OR x 3 SMT x 5 TM x 1 KLS]	60	OR	150000	9000000		
	    -     Uang harian supervisi kegiatan PKL di jawa tengah  [1 OR x 2 KL x 1 HR x 5 RS]	10	OH	350000	3500000		
	    -     Transport supervisi PKL di jawa tengah  [1 OR x 4 KL x 1 PP x 5 RS]	20	OK	350000	7000000		
	 >> Monev	0		0	0		
	    -     Uang harian  [3 OR x 2 HARI]	6	OK	500000	3000000		
	    -     Penginapan rapat koordinasi  [3 OR x 2 HR]	6	OK	600000	3600000		
	    -     Transport koordinasi  [3 OR x 1 KL]	3	OK	1150000	3450000		
     AB	Keperawatan Magelang	0		0	59300000		
     521119	Belanja Barang Operasional Lainnya	0		0	11210000		A
	    -     Pelatihan Softskill  [19 MHS x 1 KEG]	19	OR	140000	2660000		
	 >> Pelaksanaan	0		0	0		
	    -     Pemenuhan kompetensi IT  [19 MHS x 1 KEG]	19	OK	450000	8550000		
     521211	Belanja Bahan	0		0	15340000		A
	> Pelaksanaan	0		0	9008000		
	    -     Pengiriman surat	1	PKT	1533000	1533000		
	    -     Konsumsi rapat koordinasi praktek  [20 0RG x 1 KEG]	20	OK	25000	500000		
	    -     Penggandaan modul mata ajar  [15 MA x 3 MODUL x 25 LBR x 5 SET]	5625	LBR	200	1125000		
	    -     Penggandaan RPS, RPP dan kontrak belajar  [15 MA x 2 SMT x 50 LBR]	1500	LBR	200	300000		
	    -     Konsumsi rapat PBM  [15 ORG x 3 KEG x 2 SMT]	90	OK	25000	2250000		
	    -     Penggandaan buku panduan praktek klinik  [30 EXP x 3 MA x 75 LB x 2 SMT]	13500	EXP	200	2700000		
	    -     Biaya cetak buku bimbingan dan konseling  [30 MHS x 1 EXP]	30	EXP	20000	600000		
	> Persiapan	0		0	2150000		
	    -     Konsumsi rapat persiapan assesment RPL  [15 OR x 1 KEG]	15	OK	25000	375000		
	    -     Konsumsi pelaksanaan assesment (Ujian Tulis, Interview, Osce)  [15 OR x 1 KEG]	15	OK	35000	525000		
	    -     Konsumsi rapat PPSM (Pengenalan Program Studi Mahasiswa)	15	OR	25000	375000		
	    -     Konsumsi PPSM	25	OR	35000	875000		
	 >> Monev	0		0	0		
	    -     Konsumsi rapat monev PBM	20	OR	25000	500000		
	    -     Konsumsi ujian proposal KTI  [4 KLP x 4 PT]	16	OK	25000	400000		
	    -     Konsumsi yudisium	20	OR	25000	500000		
	    -     Konsumsi ujian sidang KTI  [4 KLP x 4 PT]	16	OK	25000	400000		
	    -     Penggandaan instrumen ujian osce  [15 KMPTS x 10 LBR x 1 KL x 19 MHS]	2850	LBR	200	570000		
	    -     Penggandaan soal uji tulis  [15 MA x 8 LBR x 2 KL x 19 MHS]	4560	LBR	200	912000		
	    -     Cetak buku panduan KTI  [30 EX x 1 KL]	30	EX	30000	900000		
     521213	Belanja Honor Output Kegiatan	0		0	6200000		A
	    -     Honor dosen tamu  [2 DSN x 2 SMT x 2 JAM]	8	OK	250000	2000000		
	    -     Honor dosen tidak tetap  [2 SKS x 14 TM x 1 SMT]	28	OK	150000	4200000		
     522191	Belanja Jasa Lainnya	0		0	5700000		A
	    -     Biaya lahan praktek  [19 MHS x 3 MA x 2 MGG]	114	OK	50000	5700000		
     524111	Belanja Perjalanan Dinas Biasa	0		0	20850000		A
	    -     Transport dosen tamu  [2 DSN x 2 SMT x 1 KEG]	4	OK	150000	600000		
	    -     Transport dosen tidak tetap  [2 DSN x 1 SMT x 14 TM]	28	OK	150000	4200000		
	    -     Uang harian supervisi kegiatan praktek klinik luar kota di jawa tengah  [2 ORG x 1 KEG x 1 HR x 3 LHN]	6	OK	350000	2100000		
	    -     Transport bimbingan praktek klinik luar kota  [2 ORG x 1 SMT x 1 LHN x 3 KEG]	6	OK	350000	2100000		
	    -     Transport bimbingan praktek klinik dalam kota  [2 ORG x 2 LHN x 1 SMT x 3 KEG]	12	OK	150000	1800000		
	 >> Monev	0		0	0		
	    -     Uang harian  [3 OR x 2 HARI]	6	OK	500000	3000000		
	    -     Penginapan rapat koordinasi  [3 OR x 2 HR]	6	OK	600000	3600000		
	    -     Transport koordinasi  [3 OR x 1 KL]	3	OK	1150000	3450000		
     AC	Keperawatan Purwokerto	0		0	116925000		
     521119	Belanja Barang Operasional Lainnya	0		0	23010000		A
	> Persiapan	0		0	23010000		
	    -     Pelatihan Softskill  [39 MHS x 1 KEG]	39	OR	140000	5460000		
	 >> Pelaksanaan	0		0	17550000		
	    -     Pemenuhan kompetensi IT  [39 MHS x 1 KEG]	39	OK	450000	17550000		
     521211	Belanja Bahan	0		0	37635000		A
	> Persiapan	0		0	37635000		
	    -     Konsumsi rapat persiapan assesment RPL  [20 OR x 1 KEG]	20	OK	25000	500000		
	    -     Konsumsi pelaksanaan assesment (Ujian Tulis, Interview, Osce)  [20 OR x 1 KEG]	20	OK	25000	500000		
	    -     Konsumsi  PPSM	125	OR	35000	4375000		
	    -     Konsumsi rapat PPSM (Pengenalan Program Studi Mahasiswa)	30	OR	25000	750000		
	 >> Pelaksanaan	0		0	18946000		
	    -     Pengiriman surat	1	PKT	1521000	1521000		
	    -     Konsumsi rapat koordinasi praktek  [20 0RG x 1 KEG]	20	OK	25000	500000		
	    -     Penggandaan modul mata ajar  [15 MA x 3 MODUL x 25 LBR x 5 SET]	5625	LBR	200	1125000		
	    -     Penggandaan RPS, RPP dan kontrak belajar  [15 MA x 2 SMT x 50 LBR]	1500	LBR	200	300000		
	    -     Konsumsi rapat PBM  [15 ORG x 4 KEG x 2 SMT]	120	OK	25000	3000000		
	    -     Penggandaan buku panduan praktek klinik  [50 EXP x 5 MA x 2 SMT]	500	EXP	25000	12500000		
	 >> Monev	0		0	12564000		
	    -     Konsumsi rapat monev PBM	30	OR	25000	750000		
	    -     Konsumsi ujian proposal KTI  [12 KLP x 4 PT]	48	OK	25000	1200000		
	    -     Konsumsi yudisium	30	OR	25000	750000		
	    -     Konsumsi ujian sidang KTI  [12 KLP x 4 PT]	48	OK	25000	1200000		
	    -     Penggandaan instrumen ujian osce  [15 KMPTS x 10 LBR x 2 KL x 39 MHS]	11700	LBR	200	2340000		
	    -     Penggandaan soal uji tulis  [15 MA x 8 LBR x 4 KL x 39 MHS]	18720	LBR	200	3744000		
	    -     Cetak buku panduan KTI  [60 EX x 1 KL]	60	EX	30000	1800000		
	    -     Biaya cetak buku bimbingan dan konseling  [39 MHS x 1 EXP]	39	EXP	20000	780000		
     521213	Belanja Honor Output Kegiatan	0		0	9000000		A
	    -     Honor dosen tamu  [2 DSN x 2 SMT x 2 JAM]	8	OK	250000	2000000		
	    -     Honor dosen tidak tetap  [2 SKS x 14 TM x 1 SMT]	28	OK	250000	7000000		
     522191	Belanja Jasa Lainnya	0		0	16380000		A
	    -     Biaya lahan praktek  [39 MHS x 3 MA x 2 MGG]	234	OK	70000	16380000		
     524111	Belanja Perjalanan Dinas Biasa	0		0	30900000		A
	> persiapan	0		0	30900000		
	    -     Transport dosen tamu  [2 DSN x 2 SMT x 1 KEG]	4	OK	150000	600000		
	    -     Transport dosen tidak tetap  [2 DSN x 1 SMT x 14 TM]	28	OK	150000	4200000		
	    -     Uang harian supervisi kegiatan praktek klinik luar kota di jawa tengah  [2 ORG x 1 KEG x 1 HR x 3 LHN]	6	OK	350000	2100000		
	    -     Transport bimbingan praktek klinik luar kota di jawa tengah  [2 ORG x 1 SMT x 1 LHN x 3 KEG]	6	OK	350000	2100000		
	    -     Uang harian  [3 OR x 2 HARI]	6	OK	500000	3000000		
	    -     Penginapan rapat koordinasi  [3 OR x 2 HR]	6	OK	600000	3600000		
	    -     Transport koordinasi  [3 OR x 1 KL]	3	OK	1150000	3450000		
	    -     Transport bimbingan praktek klinik dalam kota  [2 ORG x 2 LHN x 1 SMT x 3 KEG]	12	OK	150000	1800000		
	 >> Monev	0		0	10050000		
	    -     Uang harian  [3 OR x 2 HARI]	6	OK	500000	3000000		
	    -     Penginapan rapat koordinasi  [3 OR x 2 HR]	6	OK	600000	3600000		
	    -     Transport koordinasi  [3 OR x 1 KL]	3	OK	1150000	3450000		
     AD	Keperawatan Pekalongan	0		0	95120000		
     521119	Belanja Barang Operasional Lainnya	0		0	20650000		A
	    -     Pemenuhan kompetensi IT  [35 MHS x 1 KEG]	35	OK	450000	15750000		
	    -     Pelatihan Softskill  [35 MHS x 1 KEG]	35	OR	140000	4900000		
     521211	Belanja Bahan	0		0	32920000		A
	> Persiapan	0		0	32920000		
	    -     Konsumsi rapat persiapan assesment RPL  [15 OR x 1 KEG]	15	OK	25000	375000		
	    -     Konsumsi pelaksanaan assesment (Ujian Tulis, Interview, Osce)  [15 OR x 1 KEG]	15	OK	25000	375000		
	    -     Fotocopy materi assesment  [127 PST x 3 KEG x 1 PKT]	381	PKT	10000	3810000		
	    -     Konsumsi rapat PPSM (Pengenalan Program Studi Mahasiswa)	15	OR	25000	375000		
	    -     Konsumsi PPSM	150	OR	35000	5250000		
	 >> Pelaksanaan	0		0	13755000		
	    -     Pengiriman surat	1	PKT	1380000	1380000		
	    -     Konsumsi rapat koordinasi praktek  [20 0RG x 1 KEG]	20	OK	25000	500000		
	    -     Penggandaan modul mata ajar  [15 MA x 3 MODUL x 25 LBR x 5 SET]	5625	LBR	200	1125000		
	    -     Penggandaan RPS, RPP dan kontrak belajar  [15 MA x 2 SMT x 50 LBR]	1500	LBR	200	300000		
	    -     Konsumsi rapat PBM  [15 ORG x 4 KEG x 2 SMT]	120	OK	25000	3000000		
	    -     Biaya cetak buku bimbingan dan konseling  [35 MHS x 1 EXP]	35	EXP	20000	700000		
	    -     Penggandaan buku panduan praktek klinik  [45 EXP x 3 MA x 2 SMT]	270	EXP	25000	6750000		
	 >> Evaluasi PBM	0		0	8980000		
	    -     Konsumsi rapat monev PBM	25	OR	25000	625000		
	    -     Konsumsi ujian proposal KTI  [10 KLP x 1 PT]	10	OK	25000	250000		
	    -     Konsumsi yudisium	25	OR	25000	625000		
	    -     Konsumsi ujian sidang KTI  [10 KLP x 1 PT]	10	OK	25000	250000		
	    -     Penggandaan instrumen ujian osce  [15 KMPTS x 10 LBR x 2 KL x 35 MHS]	10500	LBR	200	2100000		
	    -     Penggandaan soal uji tulis  [15 MA x 8 LBR x 4 KL x 35 MHS]	16800	LBR	200	3360000		
	    -     Cetak buku panduan KTI  [59 EX x 1 KL]	59	EX	30000	1770000		
     521213	Belanja Honor Output Kegiatan	0		0	9000000		A
	    -     Honor dosen tamu  [2 DSN x 2 SMT x 2 JAM]	8	OK	250000	2000000		
	    -     Honor dosen tidak tetap  [2 SKS x 14 TM x 1 SMT]	28	OK	250000	7000000		
     522191	Belanja Jasa Lainnya	0		0	10500000		A
	    -     Biaya lahan praktek  [35 MHS x 3 MA x 2 MGG]	210	OK	50000	10500000		
     524111	Belanja Perjalanan Dinas Biasa	0		0	22050000		A
	    -     Transport dosen tamu  [2 DSN x 2 SMT x 1 KEG]	4	OK	150000	600000		
	    -     Transport dosen tidak tetap  [2 DSN x 1 SMT x 14 TM]	28	OK	150000	4200000		
	    -     Uang harian supervisi kegiatan praktek klinik luar kota di jawa tengah  [2 ORG x 1 KEG x 1 HR x 3 LHN]	6	OK	350000	2100000		
	    -     Transport bimbingan praktek klinik luar kota di jawa tengah  [2 ORG x 1 SMT x 2 LHN x 3 KEG]	12	OK	350000	4200000		
	    -     Transport bimbingan praktek klinik dalam kota  [2 ORG x 1 LHN x 1 SMT x 3 KEG]	6	OK	150000	900000		
	 >> Monev	0		0	0		
	    -     Uang harian  [3 OR x 2 HARI]	6	OK	500000	3000000		
	    -     Penginapan rapat koordinasi  [3 OR x 2 HR]	6	OK	600000	3600000		
	    -     Transport koordinasi  [3 OR x 1 KL]	3	OK	1150000	3450000		
     AE	Keperawatan Blora	0		0	84065000		
     521119	Belanja Barang Operasional Lainnya	0		0	11210000		A
	    -     Pelatihan Softskill  [19 MHS x 1 KEG]	19	OR	140000	2660000		
	    -     Pemenuhan kompetensi IT  [19 MHS x 1 KEG]	19	OK	450000	8550000		
     521211	Belanja Bahan	0		0	35025000		A
	    -     Konsumsi rapat persiapan assesment RPL  [35 OR x 1 KEG]	35	OK	25000	875000		
	    -     Konsumsi pelaksanaan assesment (Ujian Tulis, Interview, Osce)  [25 OR x 1 KEG]	25	OK	25000	625000		
	    -     Konsumsi rapat PPSM (Pengenalan Program Studi Mahasiswa)	15	OR	25000	375000		
	    -     Konsumsi PPSM	100	OR	35000	3500000		
	 >> Pelaksanaan	0		0	13096000		
	    -     Pengiriman surat	1	PKT	1491000	1491000		
	    -     Konsumsi rapat koordinasi praktek  [20 0RG x 1 KEG]	20	OK	20000	400000		
	    -     Penggandaan modul mata ajar  [15 MA x 3 MODUL x 25 LBR x 5 SET]	5625	LBR	200	1125000		
	    -     Penggandaan RPS, RPP dan kontrak belajar  [15 MA x 2 SMT x 50 LBR]	1500	LBR	200	300000		
	    -     Konsumsi rapat PBM  [15 ORG x 4 KEG x 2 SMT]	120	OK	25000	3000000		
	    -     Penggandaan buku panduan praktek klinik  [40 EXP x 3 MA x 2 SMT]	240	EXP	25000	6000000		
